670235065033621504***,***RT @soychilecl: El gobierno anuncio la entrega de un aguinaldo de $19 mil pesos para los pensionadoshttps://t.co/Bar6XGwlsM https://t.co/F…
670233876992692225***,***Un accidente dejo a cuatro personas lesionadas esta madrugada en San Antonio https://t.co/7h7Wb7nrnn
670232099799068672***,***RT @soychilecl: Los memes que dejo el divertido comentario de Yann Ivin en MasterChefhttps://t.co/NacSpeWQIc https://t.co/IXBrg83FV3
670231604627972096***,***Un accidente dejo a cuatro personas lesionadas esta madrugada en San Antoniohttps://t.co/Q9JZHtvYNZ https://t.co/SFnDuQJtcv
670231244190425088***,***RT @soychilecl: Consejo de presidentes de la ANFP analizara crisis y situacion del directoriohttps://t.co/DxHBtyVOIQ https://t.co/MQ48XTtb…
670228714014285825***,***RT @soychilecl: [FOTOS] Caso Penta: hoy es el juicio abreviado de Jovino Novoahttps://t.co/aZigVpXUFq https://t.co/YqW5Oewypm
670226150707355648***,***RT @soychilecl: [FOTOS] Valbuena carga contra Benzema: "No le haria eso ni a mi peor enemigo"https://t.co/O1aNhHhB1B https://t.co/iWRRZl72…
670225540582875136***,***RT @soychilecl: Con Luis Jara y Don Francisco como protagonistas Kramer lanzo nuevo video para promocionar la Teletonhttps://t.co/jMASgzQ2…
670224489469378560***,***RT @soychilecl: ¿Lo viste? Parasito en Bolivia esta haciendo que las mujeres de la zona se embaracen mashttps://t.co/PGH0LPd9AL https://t.…
670223777800822785***,***RT @soytalcahuano: La proxima semana los Tribunales de Familia revisaran el caso de la mujer que consumio marihuana en el embarazohttps://…
670223096700342272***,***RT @soychilecl: Sebastian Pinera: "Al proximo gobierno le tocara reconstruir Chile"https://t.co/1jl3ckhlIA https://t.co/8PggsnG7Hp
670222772128358400***,***RT @soychilecl: Nadie esta comprando el Viagra femeninohttps://t.co/Z9GVscHzdf https://t.co/QbGaKsEcrl
670221989563523072***,***RT @soychilecl: [VIDEO] Duena de hogar de ancianos denunciada por el Tio Emilio logro que justicia ordenara bajar el programahttps://t.co/…
670219894177341440***,***RT @soychilecl: Diputado Ceroni: "nunca me imagine que habia gente morbosa de tan bajo nivel"https://t.co/czUiMedClg
670218859727687680***,***RT @soychilecl: Diputado Ceroni: “Quiero que se descubra que hay detras de esto”https://t.co/czUiMedClg https://t.co/ktKztFOMAm
670218796213366784***,***RT @soychilecl: No te olvides de la belleza de Chile. Sigue nuestro Instagram y encantate con #zoomchile en https://t.co/8luSA4Q6kf https:/…
670216781156515840***,***RT @soychilecl: Los memes que dejo el divertido comentario de Yann Ivin en MasterChefhttps://t.co/NacSpeWQIc https://t.co/jPgrg4Pf7t
670215890995163137***,***RT @soychilecl: El proyecto que unio a un tatuador famoso, clientes desconocidos y una confianza ciegahttps://t.co/ZTxl80LYSB https://t.co…
670214820143226880***,***RT @soychilecl: [VIDEO Y FOTOS] Augusto Schuster lo hizo otra vez: ahora imito a Celine Dion en Argentinahttps://t.co/KE324ergBz https://t…
670214111083503617***,***RT @soychilecl: Parasito en Bolivia esta haciendo que las mujeres de la zona se embaracen mashttps://t.co/PGH0LPd9AL https://t.co/3usTPgjQ…
670213374941208576***,***RT @soychilecl: [FOTOS] Cecilia Bolocco: "Mas que un baile lo que voy a mostrar es un mensaje"https://t.co/lMs8YaUZHL https://t.co/mnwD1MB…
670211354612092928***,***RT @soychilecl: [FOTOS] El pastor Soto seria condenado a entre 200 y 300 dias por injuriashttps://t.co/ZTHhPTszzH https://t.co/LiqWFDjESn
670197398581477376***,***RT @soychilecl: Sebastian Pinera: "Al proximo gobierno le tocara reconstruir Chile" https://t.co/XXOps51sUy https://t.co/7mjwcREwmT
670067205657264128***,***RT @soychilecl: Pintor acuso a Sergio Jadue de verder un cuadro que le regalo a la ANFP https://t.co/7PhVCYqJeM https://t.co/Bm3RJXeTzu
670052802916405248***,***RT @soychilecl: Funcionarios publicos calificaron de "raton" el reajuste de 4,1% aprobado por el Congreso https://t.co/IMhkTH1WDo https://t…
670042106191302656***,***RT @soyvalparaiso: Decretan alerta temprana preventiva para la Region de Valparaiso por altas temperaturas https://t.co/azj9QwmEiE
670037215620292608***,***RT @soychilecl: La Conmebol aun no reemplaza a Sergio Jadue de su cargo de vicepresidente https://t.co/AjRKap93Aa https://t.co/XhukgzDsnJ
670028112781029377***,***RT @soychilecl: Uno de los carabineros heridos tras el asalto en Recoleta salio del riesgo vital https://t.co/UbRYyQ7smC https://t.co/yof06…
670015386784518144***,***RT @soyvaldiviacl: Joven lanquina cuenta sus planes tras emocionar a Chile en “Espias del amor” https://t.co/rAum1Vji15
670015340085125120***,***RT @soychilecl: Bachelet anuncio para diciembre el envio de la Ley de Educacion Superior https://t.co/HsFBaXukG6 https://t.co/SpY1IslGrD
670015022513319936***,***RN proclamo a Dino Lotito como candidato a alcalde de Santo Domingo y a Marco Verdala por Cartagena https://t.co/lf2QqUM60J
670011839993020416***,***RT @soyosorno: Feriante le pidio al obispo Barros que interceda para obtener permisos municipales https://t.co/qkk6ijVzfJ
669997168380506112***,***RT @soychilecl: Patricio Rubio respondio a los hinchas que lo hostigaron por una foto https://t.co/fuouw5qnsf https://t.co/O6rlEgNatB
669995955085688833***,***El Sindicato de Pescadores Artesanales de San Antonio recibio equipamiento para la captura de jibia https://t.co/cjQbIeCdWL
